date,Open,High,Low,Close,adj. Close,Volume,dividend amount,split coefficient
2020-03-18,236.25,248.37,228.02,240.0,240.0,324845381.0,0.0,1.0
2020-03-17,245.04,256.17,237.07,252.8,252.8,260566279.0,0.0,1.0
2020-03-16,241.18,256.9,237.36,239.85,239.85,295019288.0,0.0,1.0
2020-03-13,263.09,271.4754,248.5237,269.32,269.32,326142197.0,0.0,1.0
2020-03-12,256.0,266.66,247.68,248.11,248.11,389612072.0,0.0,1.0
2020-03-11,280.7,281.94,270.88,274.36,274.36,254604444.0,0.0,1.0
2020-03-10,284.64,288.52,273.5,288.42,288.42,274894230.0,0.0,1.0
2020-03-09,275.3,284.19,273.45,274.23,274.23,305980554.0,0.0,1.0
2020-03-06,293.15,298.78,290.23,297.46,297.46,228315219.0,0.0,1.0
2020-03-05,304.98,308.47,300.01,302.46,302.46,185533970.0,0.0,1.0
2020-03-04,306.12,313.1,303.33,312.86,312.86,175893889.0,0.0,1.0
2020-03-03,309.5,313.84,297.57,300.24,300.24,298851919.0,0.0,1.0
2020-03-02,298.21,309.16,294.46,309.09,309.09,237377617.0,0.0,1.0
2020-02-28,288.7,297.892,285.54,296.26,296.26,384911854.0,0.0,1.0
2020-02-27,305.46,311.5637,297.51,297.51,297.51,282544492.0,0.0,1.0
2020-02-26,314.18,318.11,310.7,311.5,311.5,192818004.0,0.0,1.0
2020-02-25,323.94,324.61,311.69,312.65,312.65,217564684.0,0.0,1.0
2020-02-24,323.14,333.5623,321.24,322.42,322.42,160991237.0,0.0,1.0
2020-02-21,335.47,335.81,332.58,333.48,333.48,113656552.0,0.0,1.0
2020-02-20,337.7423,338.64,333.6817,336.95,336.95,73891268.0,0.0,1.0
2020-02-19,337.79,339.08,337.48,338.34,338.34,48587393.0,0.0,1.0
2020-02-18,336.51,337.6677,335.21,336.73,336.73,57195407.0,0.0,1.0
2020-02-14,337.51,337.73,336.2,337.6,337.6,64518123.0,0.0,1.0
2020-02-13,335.8621,338.12,335.56,337.06,337.06,54038002.0,0.0,1.0
2020-02-12,336.83,337.65,336.43,337.42,337.42,42844434.0,0.0,1.0
2020-02-11,336.1697,337.02,334.684,335.26,335.26,54773045.0,0.0,1.0
2020-02-10,331.23,334.75,331.19,334.68,334.68,41779456.0,0.0,1.0
2020-02-07,332.82,333.9941,331.6,332.2,332.2,64074382.0,0.0,1.0
2020-02-06,333.91,334.19,332.8,333.98,333.98,49982975.0,0.0,1.0
2020-02-05,332.2701,333.09,330.67,332.86,332.86,64864742.0,0.0,1.0
2020-02-04,328.07,330.01,327.72,329.06,329.06,61704740.0,0.0,1.0
2020-02-03,323.35,326.16,323.22,324.12,324.12,68931216.0,0.0,1.0
2020-01-31,327.0,327.17,320.73,321.73,321.73,113659402.0,0.0,1.0
2020-01-30,324.36,327.91,323.54,327.68,327.68,75184385.0,0.0,1.0
2020-01-29,328.38,328.63,326.4,326.62,326.62,53714641.0,0.0,1.0
2020-01-28,325.06,327.85,323.6038,326.89,326.89,63519891.0,0.0,1.0
2020-01-27,323.03,325.12,322.66,323.5,323.5,83797934.0,0.0,1.0
2020-01-24,332.44,332.53,327.36,328.77,328.77,87465785.0,0.0,1.0
2020-01-23,330.63,332.1682,329.41,331.72,331.72,51828259.0,0.0,1.0
2020-01-22,332.24,332.95,331.17,331.34,331.34,48705035.0,0.0,1.0
2020-01-21,330.9,332.18,330.82,331.3,331.3,77624157.0,0.0,1.0
2020-01-17,331.7,332.18,330.8539,331.95,331.95,95778839.0,0.0,1.0
2020-01-16,329.7,330.92,329.45,330.92,330.92,53788867.0,0.0,1.0
2020-01-15,327.35,329.02,327.26,328.19,328.19,71870739.0,0.0,1.0
2020-01-14,327.47,328.62,326.844,327.45,327.45,62784185.0,0.0,1.0
2020-01-13,326.39,327.96,325.92,327.95,327.95,47026115.0,0.0,1.0
2020-01-10,327.2899,327.46,325.2,325.71,325.71,53028660.0,0.0,1.0
2020-01-09,326.15,326.73,325.52,326.65,326.65,48421935.0,0.0,1.0
2020-01-08,322.94,325.78,322.67,324.45,324.45,68177241.0,0.0,1.0
2020-01-07,323.02,323.54,322.24,322.73,322.73,40461249.0,0.0,1.0
2020-01-06,320.49,323.73,320.36,323.64,323.64,55596982.0,0.0,1.0
2020-01-03,321.16,323.64,321.1,322.41,322.41,77708081.0,0.0,1.0
2020-01-02,323.54,324.89,322.53,324.87,324.87,59037072.0,0.0,1.0
2019-12-31,320.53,322.13,320.15,321.86,321.86,57059907.0,0.0,1.0
2019-12-30,322.95,323.1,320.55,321.08,321.08,49652827.0,0.0,1.0
2019-12-27,323.74,323.8,322.28,322.86,322.86,42523486.0,0.0,1.0
2019-12-26,321.65,322.95,321.64,322.94,322.94,30854382.0,0.0,1.0
2019-12-24,321.47,321.52,320.9,321.23,321.23,20270007.0,0.0,1.0
2019-12-23,321.59,321.65,321.06,321.22,321.22,52980805.0,0.0,1.0
2019-12-20,320.46,321.9742,319.3873,320.73,320.73,149214080.0,1.57,1.0
2019-12-19,319.7999,320.98,319.5246,320.9,319.3368,85248597.0,0.0,1.0
2019-12-18,320.0,320.25,319.53,319.59,318.0332,48721894.0,0.0,1.0
2019-12-17,319.92,320.25,319.48,319.57,318.0133,61062693.0,0.0,1.0
2019-12-16,319.18,320.15,317.2542,319.5,317.9436,82723814.0,0.0,1.0
2019-12-13,316.87,318.67,316.02,317.32,315.7743,81489263.0,0.0,1.0
2019-12-12,314.43,317.99,314.17,317.13,315.5852,96035635.0,0.0,1.0
2019-12-11,314.03,314.7,313.5312,314.42,312.8884,46889653.0,0.0,1.0
2019-12-10,313.82,314.55,312.81,313.53,312.0027,52609340.0,0.0,1.0
2019-12-09,314.44,315.18,313.8,313.88,312.351,34788380.0,0.0,1.0
2019-12-06,314.11,315.31,314.11,314.87,313.3362,48926121.0,0.0,1.0
2019-12-05,312.23,312.25,310.58,312.02,310.5001,40657041.0,0.0,1.0
2019-12-04,310.7,312.12,310.32,311.46,309.9428,49007961.0,0.0,1.0
2019-12-03,308.65,309.64,307.13,309.55,308.0421,74784721.0,0.0,1.0
2019-12-02,314.59,314.66,311.17,311.64,310.1219,75719967.0,0.0,1.0
2019-11-29,314.86,315.13,314.06,314.31,312.7789,36592740.0,0.0,1.0
2019-11-27,314.61,315.48,314.37,315.48,313.9432,44260649.0,0.0,1.0
2019-11-26,313.41,314.28,313.06,314.08,312.55,37515200.0,0.0,1.0
2019-11-25,311.98,313.37,311.98,313.37,311.8435,48606151.0,0.0,1.0
2019-11-22,311.09,311.24,309.85,310.96,309.4452,44803329.0,0.0,1.0
2019-11-21,310.89,311.01,309.39,310.27,308.7586,54403450.0,0.0,1.0
2019-11-20,311.28,311.85,309.06,310.77,309.2562,79200298.0,0.0,1.0
2019-11-19,312.68,312.69,311.22,311.93,310.4105,67663099.0,0.0,1.0
2019-11-18,311.53,312.28,311.03,312.02,310.5001,49285964.0,0.0,1.0
2019-11-15,311.02,311.84,310.26,311.79,310.2712,61990853.0,0.0,1.0
2019-11-14,308.79,309.64,308.09,309.55,308.0421,51148052.0,0.0,1.0
2019-11-13,307.91,309.54,307.66,309.1,307.5943,54261698.0,0.0,1.0
